date,open,high,low,close,volume,average,barCount
2025-08-20 17:00:00-05:00,45003.0,45029.0,45001.0,45006.0,103.0,45016.6,76
2025-08-20 17:05:00-05:00,45007.0,45012.0,44991.0,45001.0,64.0,45003.0,54
2025-08-20 17:10:00-05:00,44997.0,45003.0,44985.0,44985.0,67.0,44991.9,55
2025-08-20 17:15:00-05:00,44985.0,44990.0,44971.0,44975.0,116.0,44978.3,83
2025-08-20 17:20:00-05:00,44973.0,44986.0,44968.0,44985.0,102.0,44978.6,68
2025-08-20 17:25:00-05:00,44989.0,44989.0,44972.0,44982.0,82.0,44980.2,58
2025-08-20 17:30:00-05:00,44981.0,44988.0,44970.0,44971.0,50.0,44980.6,42
2025-08-20 17:35:00-05:00,44972.0,44972.0,44959.0,44966.0,89.0,44966.1,72
2025-08-20 17:40:00-05:00,44965.0,44972.0,44964.0,44972.0,29.0,44969.2,25
2025-08-20 17:45:00-05:00,44971.0,44978.0,44970.0,44977.0,31.0,44972.4,26
2025-08-20 17:50:00-05:00,44975.0,44982.0,44974.0,44976.0,36.0,44978.2,28
2025-08-20 17:55:00-05:00,44974.0,44980.0,44974.0,44976.0,17.0,44976.0,16
2025-08-20 18:00:00-05:00,44976.0,44980.0,44971.0,44973.0,21.0,44974.9,17
2025-08-20 18:05:00-05:00,44973.0,44987.0,44965.0,44983.0,89.0,44976.9,62
2025-08-20 18:10:00-05:00,44985.0,44985.0,44973.0,44975.0,27.0,44978.6,20
2025-08-20 18:15:00-05:00,44974.0,44976.0,44972.0,44973.0,21.0,44973.2,19
2025-08-20 18:20:00-05:00,44972.0,44972.0,44968.0,44968.0,15.0,44969.1,11
2025-08-20 18:25:00-05:00,44967.0,44971.0,44962.0,44965.0,35.0,44966.7,29
2025-08-20 18:30:00-05:00,44964.0,44964.0,44951.0,44955.0,74.0,44955.9,64
2025-08-20 18:35:00-05:00,44952.0,44955.0,44948.0,44953.0,40.0,44952.2,35
2025-08-20 18:40:00-05:00,44957.0,44964.0,44957.0,44960.0,14.0,44960.5,13
2025-08-20 18:45:00-05:00,44957.0,44961.0,44951.0,44951.0,12.0,44955.1,10
2025-08-20 18:50:00-05:00,44954.0,44970.0,44953.0,44970.0,40.0,44961.3,29
2025-08-20 18:55:00-05:00,44970.0,44979.0,44967.0,44977.0,36.0,44971.7,23
2025-08-20 19:00:00-05:00,44974.0,44974.0,44954.0,44963.0,62.0,44964.2,53
2025-08-20 19:05:00-05:00,44964.0,44969.0,44957.0,44957.0,15.0,44963.9,14
2025-08-20 19:10:00-05:00,44959.0,44973.0,44958.0,44967.0,25.0,44966.1,20
2025-08-20 19:15:00-05:00,44963.0,44963.0,44944.0,44946.0,49.0,44950.3,44
2025-08-20 19:20:00-05:00,44945.0,44945.0,44925.0,44930.0,69.0,44932.6,57
2025-08-20 19:25:00-05:00,44929.0,44935.0,44922.0,44935.0,58.0,44927.5,51
2025-08-20 19:30:00-05:00,44935.0,44957.0,44935.0,44957.0,61.0,44950.4,52
2025-08-20 19:35:00-05:00,44957.0,44968.0,44955.0,44958.0,37.0,44960.7,29
2025-08-20 19:40:00-05:00,44961.0,44968.0,44960.0,44962.0,37.0,44964.2,28
2025-08-20 19:45:00-05:00,44961.0,44961.0,44939.0,44939.0,55.0,44950.8,44
2025-08-20 19:50:00-05:00,44938.0,44946.0,44930.0,44934.0,40.0,44937.7,32
2025-08-20 19:55:00-05:00,44936.0,44946.0,44936.0,44945.0,31.0,44941.9,25
2025-08-20 20:00:00-05:00,44943.0,44949.0,44939.0,44939.0,40.0,44943.7,32
2025-08-20 20:05:00-05:00,44940.0,44943.0,44928.0,44936.0,63.0,44935.0,49
2025-08-20 20:10:00-05:00,44940.0,44942.0,44927.0,44940.0,58.0,44932.7,42
2025-08-20 20:15:00-05:00,44936.0,44937.0,44929.0,44931.0,17.0,44933.6,15
2025-08-20 20:20:00-05:00,44930.0,44948.0,44926.0,44948.0,45.0,44936.4,40
2025-08-20 20:25:00-05:00,44947.0,44953.0,44943.0,44947.0,30.0,44949.1,21
2025-08-20 20:30:00-05:00,44950.0,44956.0,44947.0,44955.0,28.0,44952.8,24
2025-08-20 20:35:00-05:00,44952.0,44952.0,44946.0,44949.0,22.0,44948.9,19
2025-08-20 20:40:00-05:00,44946.0,44952.0,44943.0,44943.0,30.0,44947.1,26
2025-08-20 20:45:00-05:00,44947.0,44952.0,44947.0,44952.0,16.0,44949.9,13
2025-08-20 20:50:00-05:00,44954.0,44975.0,44954.0,44975.0,102.0,44969.0,73
2025-08-20 20:55:00-05:00,44973.0,44995.0,44973.0,44994.0,189.0,44984.4,132
2025-08-20 21:00:00-05:00,44992.0,44996.0,44989.0,44993.0,75.0,44991.6,56
2025-08-20 21:05:00-05:00,44993.0,44995.0,44984.0,44984.0,59.0,44991.2,44
2025-08-20 21:10:00-05:00,44986.0,45002.0,44984.0,44999.0,71.0,44992.6,60
2025-08-20 21:15:00-05:00,45003.0,45004.0,44993.0,45003.0,54.0,45000.8,44
2025-08-20 21:20:00-05:00,45004.0,45009.0,45004.0,45005.0,28.0,45007.1,21
2025-08-20 21:25:00-05:00,45004.0,45009.0,45003.0,45005.0,39.0,45005.9,24
2025-08-20 21:30:00-05:00,45006.0,45010.0,45003.0,45005.0,21.0,45006.4,17
2025-08-20 21:35:00-05:00,45008.0,45013.0,45005.0,45009.0,14.0,45008.1,14
2025-08-20 21:40:00-05:00,45005.0,45014.0,45004.0,45012.0,12.0,45008.2,10
2025-08-20 21:45:00-05:00,45011.0,45013.0,45007.0,45007.0,18.0,45009.8,16
2025-08-20 21:50:00-05:00,45009.0,45016.0,45008.0,45014.0,24.0,45011.8,22
2025-08-20 21:55:00-05:00,45016.0,45017.0,45011.0,45013.0,36.0,45014.6,18
2025-08-20 22:00:00-05:00,45014.0,45016.0,45010.0,45013.0,12.0,45013.1,11
2025-08-20 22:05:00-05:00,45014.0,45025.0,45013.0,45024.0,37.0,45019.6,25
2025-08-20 22:10:00-05:00,45023.0,45023.0,45014.0,45014.0,15.0,45017.0,15
2025-08-20 22:15:00-05:00,45011.0,45011.0,45004.0,45007.0,18.0,45006.6,14
2025-08-20 22:20:00-05:00,45001.0,45001.0,44995.0,45001.0,18.0,44998.3,16
2025-08-20 22:25:00-05:00,45001.0,45004.0,44999.0,45003.0,10.0,45002.2,9
2025-08-20 22:30:00-05:00,45006.0,45006.0,45003.0,45005.0,13.0,45004.5,12
2025-08-20 22:35:00-05:00,45010.0,45016.0,45006.0,45008.0,29.0,45012.0,21
2025-08-20 22:40:00-05:00,45008.0,45009.0,45006.0,45006.0,6.0,45007.8,5
2025-08-20 22:45:00-05:00,45002.0,45003.0,44998.0,45003.0,15.0,45001.1,12
2025-08-20 22:50:00-05:00,45003.0,45003.0,44998.0,44998.0,6.0,45001.5,6
2025-08-20 22:55:00-05:00,44995.0,44997.0,44988.0,44988.0,11.0,44991.8,10
2025-08-20 23:00:00-05:00,44987.0,44988.0,44978.0,44986.0,31.0,44982.6,22
2025-08-20 23:05:00-05:00,44985.0,44985.0,44979.0,44981.0,9.0,44981.2,9
2025-08-20 23:10:00-05:00,44979.0,44979.0,44975.0,44977.0,12.0,44976.7,11
2025-08-20 23:15:00-05:00,44982.0,44991.0,44982.0,44982.0,16.0,44986.8,13
2025-08-20 23:20:00-05:00,44981.0,44981.0,44980.0,44980.0,4.0,44980.3,4
2025-08-20 23:25:00-05:00,44986.0,44986.0,44980.0,44980.0,14.0,44983.9,12
2025-08-20 23:30:00-05:00,44978.0,44986.0,44974.0,44986.0,13.0,44979.3,8
2025-08-20 23:35:00-05:00,44984.0,44984.0,44978.0,44978.0,9.0,44980.1,8
2025-08-20 23:40:00-05:00,44978.0,44985.0,44970.0,44982.0,37.0,44976.1,29
2025-08-20 23:45:00-05:00,44982.0,44984.0,44982.0,44983.0,6.0,44983.0,5
2025-08-20 23:50:00-05:00,44979.0,44979.0,44973.0,44974.0,10.0,44975.8,9
2025-08-20 23:55:00-05:00,44972.0,44975.0,44962.0,44962.0,43.0,44968.6,37
2025-08-21 00:00:00-05:00,44960.0,44974.0,44960.0,44969.0,28.0,44969.3,19
2025-08-21 00:05:00-05:00,44967.0,44967.0,44946.0,44948.0,67.0,44952.3,54
2025-08-21 00:10:00-05:00,44944.0,44944.0,44935.0,44941.0,52.0,44939.3,45
2025-08-21 00:15:00-05:00,44944.0,44956.0,44942.0,44951.0,30.0,44950.0,25
2025-08-21 00:20:00-05:00,44950.0,44950.0,44941.0,44943.0,24.0,44945.2,22
2025-08-21 00:25:00-05:00,44941.0,44941.0,44935.0,44939.0,16.0,44939.0,14
2025-08-21 00:30:00-05:00,44940.0,44943.0,44936.0,44939.0,40.0,44939.8,26
2025-08-21 00:35:00-05:00,44938.0,44941.0,44931.0,44937.0,49.0,44934.9,31
2025-08-21 00:40:00-05:00,44934.0,44941.0,44930.0,44938.0,56.0,44936.4,35
2025-08-21 00:45:00-05:00,44938.0,44944.0,44936.0,44938.0,25.0,44940.2,22
2025-08-21 00:50:00-05:00,44938.0,44955.0,44933.0,44952.0,34.0,44945.0,31
2025-08-21 00:55:00-05:00,44951.0,44966.0,44951.0,44966.0,68.0,44958.4,42
2025-08-21 01:00:00-05:00,44968.0,44983.0,44968.0,44977.0,207.0,44978.6,116
2025-08-21 01:05:00-05:00,44977.0,44984.0,44972.0,44983.0,59.0,44979.5,42
2025-08-21 01:10:00-05:00,44985.0,45000.0,44985.0,45000.0,62.0,44994.6,55
2025-08-21 01:15:00-05:00,44999.0,45003.0,44995.0,45001.0,55.0,44999.4,46
2025-08-21 01:20:00-05:00,44998.0,44998.0,44987.0,44987.0,37.0,44992.9,30
2025-08-21 01:25:00-05:00,44985.0,44986.0,44970.0,44977.0,62.0,44978.5,55
2025-08-21 01:30:00-05:00,44977.0,44989.0,44976.0,44989.0,41.0,44982.0,30
2025-08-21 01:35:00-05:00,44988.0,45002.0,44987.0,44987.0,52.0,44995.9,44
2025-08-21 01:40:00-05:00,44987.0,44995.0,44987.0,44992.0,53.0,44990.1,49
2025-08-21 01:45:00-05:00,44989.0,44993.0,44982.0,44983.0,22.0,44989.8,22
2025-08-21 01:50:00-05:00,44986.0,44989.0,44981.0,44984.0,42.0,44985.0,36
2025-08-21 01:55:00-05:00,44987.0,44989.0,44979.0,44982.0,120.0,44982.4,66
2025-08-21 02:00:00-05:00,44980.0,44986.0,44953.0,44968.0,315.0,44967.5,199
2025-08-21 02:05:00-05:00,44969.0,44980.0,44960.0,44972.0,110.0,44970.8,94
2025-08-21 02:10:00-05:00,44965.0,44970.0,44950.0,44955.0,76.0,44958.2,62
2025-08-21 02:15:00-05:00,44956.0,44959.0,44937.0,44943.0,164.0,44944.1,138
2025-08-21 02:20:00-05:00,44944.0,44950.0,44937.0,44937.0,71.0,44944.4,60
2025-08-21 02:25:00-05:00,44940.0,44941.0,44928.0,44936.0,85.0,44934.5,62
2025-08-21 02:30:00-05:00,44937.0,44945.0,44930.0,44943.0,147.0,44938.4,112
2025-08-21 02:35:00-05:00,44943.0,44952.0,44942.0,44952.0,76.0,44947.4,60
2025-08-21 02:40:00-05:00,44953.0,44960.0,44941.0,44945.0,70.0,44952.6,52
2025-08-21 02:45:00-05:00,44945.0,44954.0,44940.0,44954.0,68.0,44946.3,53
2025-08-21 02:50:00-05:00,44956.0,44960.0,44943.0,44947.0,82.0,44953.4,67
2025-08-21 02:55:00-05:00,44948.0,44950.0,44941.0,44942.0,48.0,44945.6,44
2025-08-21 03:00:00-05:00,44946.0,44955.0,44933.0,44955.0,147.0,44945.1,94
2025-08-21 03:05:00-05:00,44952.0,44965.0,44946.0,44959.0,94.0,44957.2,80
2025-08-21 03:10:00-05:00,44958.0,44962.0,44941.0,44946.0,142.0,44951.1,120
2025-08-21 03:15:00-05:00,44945.0,44949.0,44915.0,44923.0,277.0,44936.0,192
2025-08-21 03:20:00-05:00,44923.0,44940.0,44921.0,44939.0,126.0,44930.2,108
2025-08-21 03:25:00-05:00,44939.0,44940.0,44926.0,44932.0,82.0,44931.9,69
2025-08-21 03:30:00-05:00,44933.0,44938.0,44917.0,44928.0,71.0,44926.3,64
2025-08-21 03:35:00-05:00,44927.0,44934.0,44926.0,44930.0,36.0,44929.9,32
2025-08-21 03:40:00-05:00,44928.0,44931.0,44921.0,44923.0,49.0,44927.7,39
2025-08-21 03:45:00-05:00,44920.0,44923.0,44897.0,44897.0,123.0,44911.6,93
2025-08-21 03:50:00-05:00,44896.0,44902.0,44886.0,44900.0,174.0,44892.9,99
2025-08-21 03:55:00-05:00,44898.0,44898.0,44872.0,44875.0,114.0,44885.4,88
2025-08-21 04:00:00-05:00,44875.0,44877.0,44859.0,44873.0,198.0,44869.2,155
2025-08-21 04:05:00-05:00,44866.0,44876.0,44858.0,44867.0,87.0,44866.7,70
2025-08-21 04:10:00-05:00,44869.0,44882.0,44864.0,44877.0,132.0,44875.1,115
2025-08-21 04:15:00-05:00,44874.0,44885.0,44872.0,44883.0,85.0,44878.3,77
2025-08-21 04:20:00-05:00,44880.0,44887.0,44875.0,44877.0,112.0,44880.2,86
2025-08-21 04:25:00-05:00,44880.0,44889.0,44876.0,44884.0,71.0,44881.8,46
2025-08-21 04:30:00-05:00,44886.0,44898.0,44886.0,44887.0,110.0,44891.2,75
2025-08-21 04:35:00-05:00,44884.0,44889.0,44879.0,44884.0,117.0,44883.3,67
2025-08-21 04:40:00-05:00,44880.0,44889.0,44878.0,44887.0,59.0,44883.2,42
2025-08-21 04:45:00-05:00,44886.0,44888.0,44879.0,44887.0,110.0,44883.3,82
2025-08-21 04:50:00-05:00,44885.0,44885.0,44870.0,44871.0,117.0,44876.0,85
2025-08-21 04:55:00-05:00,44870.0,44874.0,44858.0,44860.0,122.0,44867.7,85
2025-08-21 05:00:00-05:00,44861.0,44862.0,44831.0,44850.0,404.0,44845.4,268
2025-08-21 05:05:00-05:00,44850.0,44857.0,44844.0,44849.0,147.0,44851.1,109
2025-08-21 05:10:00-05:00,44848.0,44848.0,44825.0,44828.0,278.0,44832.2,172
2025-08-21 05:15:00-05:00,44829.0,44835.0,44807.0,44811.0,270.0,44820.3,184
2025-08-21 05:20:00-05:00,44809.0,44829.0,44796.0,44825.0,290.0,44810.6,205
2025-08-21 05:25:00-05:00,44824.0,44836.0,44813.0,44835.0,258.0,44823.5,179
2025-08-21 05:30:00-05:00,44836.0,44848.0,44812.0,44815.0,443.0,44833.4,237
2025-08-21 05:35:00-05:00,44816.0,44830.0,44814.0,44828.0,133.0,44820.4,89
2025-08-21 05:40:00-05:00,44829.0,44840.0,44827.0,44838.0,89.0,44834.1,71
2025-08-21 05:45:00-05:00,44837.0,44839.0,44831.0,44836.0,82.0,44835.3,56
2025-08-21 05:50:00-05:00,44837.0,44856.0,44829.0,44854.0,157.0,44843.8,93
2025-08-21 05:55:00-05:00,44856.0,44905.0,44839.0,44863.0,1642.0,44872.9,912
2025-08-21 06:00:00-05:00,44861.0,44904.0,44844.0,44872.0,833.0,44871.3,544
2025-08-21 06:05:00-05:00,44870.0,44883.0,44862.0,44864.0,164.0,44874.5,126
2025-08-21 06:10:00-05:00,44863.0,44871.0,44842.0,44853.0,240.0,44855.8,187
2025-08-21 06:15:00-05:00,44855.0,44859.0,44845.0,44851.0,218.0,44850.0,148
2025-08-21 06:20:00-05:00,44852.0,44877.0,44849.0,44868.0,96.0,44867.1,77
2025-08-21 06:25:00-05:00,44869.0,44870.0,44861.0,44867.0,116.0,44865.3,72
2025-08-21 06:30:00-05:00,44862.0,44872.0,44848.0,44853.0,192.0,44859.4,132
2025-08-21 06:35:00-05:00,44854.0,44860.0,44847.0,44850.0,164.0,44852.3,120
2025-08-21 06:40:00-05:00,44851.0,44873.0,44851.0,44859.0,117.0,44864.1,82
2025-08-21 06:45:00-05:00,44861.0,44861.0,44826.0,44829.0,176.0,44840.9,131
2025-08-21 06:50:00-05:00,44830.0,44845.0,44830.0,44838.0,205.0,44838.5,138
2025-08-21 06:55:00-05:00,44839.0,44852.0,44837.0,44850.0,113.0,44846.5,87
2025-08-21 07:00:00-05:00,44850.0,44851.0,44823.0,44826.0,331.0,44832.4,209
2025-08-21 07:05:00-05:00,44829.0,44836.0,44818.0,44826.0,138.0,44828.9,110
2025-08-21 07:10:00-05:00,44826.0,44826.0,44801.0,44810.0,331.0,44807.5,218
2025-08-21 07:15:00-05:00,44812.0,44820.0,44789.0,44800.0,307.0,44805.0,197
2025-08-21 07:20:00-05:00,44800.0,44820.0,44789.0,44815.0,268.0,44800.0,198
2025-08-21 07:25:00-05:00,44814.0,44829.0,44809.0,44817.0,278.0,44818.4,219
2025-08-21 07:30:00-05:00,44808.0,44848.0,44780.0,44847.0,510.0,44827.3,325
2025-08-21 07:35:00-05:00,44846.0,44848.0,44818.0,44821.0,283.0,44831.6,213
2025-08-21 07:40:00-05:00,44822.0,44833.0,44814.0,44817.0,262.0,44822.4,193
2025-08-21 07:45:00-05:00,44815.0,44820.0,44803.0,44813.0,304.0,44811.2,222
2025-08-21 07:50:00-05:00,44810.0,44823.0,44807.0,44816.0,278.0,44814.1,203
2025-08-21 07:55:00-05:00,44817.0,44824.0,44805.0,44821.0,198.0,44815.1,149
2025-08-21 08:00:00-05:00,44821.0,44836.0,44807.0,44835.0,179.0,44822.1,131
2025-08-21 08:05:00-05:00,44834.0,44841.0,44828.0,44840.0,123.0,44835.6,96
2025-08-21 08:10:00-05:00,44840.0,44846.0,44830.0,44840.0,193.0,44837.8,129
2025-08-21 08:15:00-05:00,44835.0,44841.0,44825.0,44839.0,184.0,44833.6,117
2025-08-21 08:20:00-05:00,44837.0,44852.0,44831.0,44833.0,208.0,44838.9,151
2025-08-21 08:25:00-05:00,44831.0,44842.0,44810.0,44829.0,1025.0,44826.4,581
2025-08-21 08:30:00-05:00,44829.0,44838.0,44738.0,44792.0,4397.0,44794.6,3107
2025-08-21 08:35:00-05:00,44792.0,44800.0,44750.0,44777.0,1478.0,44777.2,1068
2025-08-21 08:40:00-05:00,44785.0,44785.0,44723.0,44740.0,1353.0,44748.1,1002
2025-08-21 08:45:00-05:00,44744.0,44763.0,44642.0,44746.0,2705.0,44697.0,1740
2025-08-21 08:50:00-05:00,44746.0,44800.0,44731.0,44773.0,2172.0,44761.7,1426
2025-08-21 08:55:00-05:00,44778.0,44786.0,44745.0,44774.0,987.0,44767.2,717
2025-08-21 09:00:00-05:00,44771.0,44902.0,44749.0,44892.0,2245.0,44836.5,1559
2025-08-21 09:05:00-05:00,44891.0,44924.0,44884.0,44912.0,1245.0,44905.0,884
2025-08-21 09:10:00-05:00,44914.0,44926.0,44884.0,44914.0,1363.0,44907.3,877
2025-08-21 09:15:00-05:00,44913.0,44957.0,44905.0,44942.0,1436.0,44936.4,949
2025-08-21 09:20:00-05:00,44940.0,44942.0,44915.0,44932.0,857.0,44929.5,637
2025-08-21 09:25:00-05:00,44933.0,44943.0,44908.0,44925.0,1020.0,44923.2,664
2025-08-21 09:30:00-05:00,44924.0,44929.0,44902.0,44913.0,701.0,44915.9,506
2025-08-21 09:35:00-05:00,44915.0,44917.0,44848.0,44850.0,724.0,44880.6,546
2025-08-21 09:40:00-05:00,44851.0,44890.0,44837.0,44889.0,926.0,44857.3,631
2025-08-21 09:45:00-05:00,44887.0,44910.0,44861.0,44861.0,585.0,44883.9,434
2025-08-21 09:50:00-05:00,44863.0,44890.0,44862.0,44885.0,349.0,44875.9,282
2025-08-21 09:55:00-05:00,44887.0,44910.0,44869.0,44909.0,380.0,44894.0,297
2025-08-21 10:00:00-05:00,44909.0,44922.0,44891.0,44907.0,462.0,44909.0,367
2025-08-21 10:05:00-05:00,44906.0,44913.0,44884.0,44894.0,418.0,44897.5,326
2025-08-21 10:10:00-05:00,44896.0,44900.0,44803.0,44804.0,1481.0,44839.9,967
2025-08-21 10:15:00-05:00,44804.0,44866.0,44793.0,44864.0,758.0,44825.8,555
2025-08-21 10:20:00-05:00,44862.0,44929.0,44854.0,44913.0,908.0,44894.6,665
2025-08-21 10:25:00-05:00,44913.0,44925.0,44882.0,44907.0,1068.0,44904.7,631
2025-08-21 10:30:00-05:00,44907.0,44950.0,44899.0,44942.0,737.0,44924.4,546
2025-08-21 10:35:00-05:00,44942.0,44958.0,44924.0,44938.0,525.0,44944.0,402
2025-08-21 10:40:00-05:00,44937.0,44968.0,44928.0,44950.0,478.0,44953.3,350
2025-08-21 10:45:00-05:00,44953.0,44953.0,44918.0,44933.0,419.0,44933.5,330
2025-08-21 10:50:00-05:00,44936.0,44937.0,44835.0,44840.0,826.0,44878.0,607
2025-08-21 10:55:00-05:00,44842.0,44850.0,44806.0,44815.0,899.0,44829.0,633
2025-08-21 11:00:00-05:00,44815.0,44826.0,44779.0,44781.0,1100.0,44801.1,772
2025-08-21 11:05:00-05:00,44779.0,44813.0,44778.0,44790.0,566.0,44793.9,418
2025-08-21 11:10:00-05:00,44789.0,44824.0,44774.0,44810.0,531.0,44796.3,415
2025-08-21 11:15:00-05:00,44811.0,44843.0,44809.0,44830.0,433.0,44831.6,310
2025-08-21 11:20:00-05:00,44832.0,44840.0,44809.0,44838.0,471.0,44822.3,343
2025-08-21 11:25:00-05:00,44836.0,44838.0,44795.0,44812.0,415.0,44810.7,330
2025-08-21 11:30:00-05:00,44812.0,44837.0,44788.0,44792.0,602.0,44812.1,443
2025-08-21 11:35:00-05:00,44795.0,44822.0,44776.0,44817.0,473.0,44796.8,316
2025-08-21 11:40:00-05:00,44816.0,44832.0,44806.0,44823.0,186.0,44819.0,142
2025-08-21 11:45:00-05:00,44824.0,44828.0,44784.0,44814.0,286.0,44803.8,221
2025-08-21 11:50:00-05:00,44811.0,44860.0,44811.0,44852.0,606.0,44840.0,400
2025-08-21 11:55:00-05:00,44852.0,44857.0,44778.0,44791.0,543.0,44810.7,404
2025-08-21 12:00:00-05:00,44793.0,44812.0,44780.0,44810.0,418.0,44797.9,305
2025-08-21 12:05:00-05:00,44810.0,44828.0,44798.0,44807.0,316.0,44812.2,242
2025-08-21 12:10:00-05:00,44807.0,44813.0,44775.0,44781.0,363.0,44785.8,257
2025-08-21 12:15:00-05:00,44781.0,44792.0,44751.0,44775.0,537.0,44770.3,389
2025-08-21 12:20:00-05:00,44775.0,44790.0,44748.0,44748.0,390.0,44766.7,290
2025-08-21 12:25:00-05:00,44752.0,44772.0,44724.0,44768.0,508.0,44746.5,334
2025-08-21 12:30:00-05:00,44766.0,44795.0,44759.0,44793.0,533.0,44777.6,322
2025-08-21 12:35:00-05:00,44796.0,44844.0,44791.0,44838.0,739.0,44818.9,498
2025-08-21 12:40:00-05:00,44839.0,44861.0,44837.0,44850.0,638.0,44849.9,463
2025-08-21 12:45:00-05:00,44851.0,44882.0,44848.0,44861.0,451.0,44866.8,353
2025-08-21 12:50:00-05:00,44862.0,44866.0,44827.0,44850.0,400.0,44846.9,284
2025-08-21 12:55:00-05:00,44848.0,44868.0,44845.0,44857.0,236.0,44856.4,173
2025-08-21 13:00:00-05:00,44854.0,44874.0,44846.0,44869.0,344.0,44862.1,234
2025-08-21 13:05:00-05:00,44871.0,44877.0,44841.0,44858.0,347.0,44859.4,252
2025-08-21 13:10:00-05:00,44858.0,44877.0,44842.0,44866.0,241.0,44857.4,176
2025-08-21 13:15:00-05:00,44866.0,44886.0,44855.0,44884.0,285.0,44876.0,221
2025-08-21 13:20:00-05:00,44885.0,44895.0,44865.0,44881.0,347.0,44882.0,259
2025-08-21 13:25:00-05:00,44880.0,44882.0,44837.0,44840.0,302.0,44858.6,216
2025-08-21 13:30:00-05:00,44841.0,44851.0,44814.0,44846.0,471.0,44834.7,364
2025-08-21 13:35:00-05:00,44843.0,44879.0,44843.0,44872.0,350.0,44866.1,258
2025-08-21 13:40:00-05:00,44871.0,44881.0,44856.0,44860.0,299.0,44868.7,220
2025-08-21 13:45:00-05:00,44859.0,44859.0,44832.0,44856.0,223.0,44845.2,167
2025-08-21 13:50:00-05:00,44858.0,44893.0,44848.0,44876.0,335.0,44872.5,242
2025-08-21 13:55:00-05:00,44877.0,44900.0,44858.0,44891.0,391.0,44884.3,272
2025-08-21 14:00:00-05:00,44892.0,44902.0,44885.0,44891.0,221.0,44894.2,181
2025-08-21 14:05:00-05:00,44892.0,44907.0,44889.0,44898.0,236.0,44900.8,163
2025-08-21 14:10:00-05:00,44898.0,44904.0,44881.0,44890.0,209.0,44890.2,147
2025-08-21 14:15:00-05:00,44892.0,44893.0,44859.0,44871.0,305.0,44876.9,238
2025-08-21 14:20:00-05:00,44871.0,44880.0,44864.0,44876.0,195.0,44873.2,155
2025-08-21 14:25:00-05:00,44873.0,44883.0,44859.0,44864.0,174.0,44868.8,138
2025-08-21 14:30:00-05:00,44864.0,44868.0,44850.0,44851.0,329.0,44858.5,247
2025-08-21 14:35:00-05:00,44850.0,44855.0,44831.0,44846.0,366.0,44843.9,286
2025-08-21 14:40:00-05:00,44843.0,44854.0,44821.0,44835.0,374.0,44834.8,306
2025-08-21 14:45:00-05:00,44835.0,44850.0,44827.0,44837.0,312.0,44837.8,250
2025-08-21 14:50:00-05:00,44840.0,44869.0,44834.0,44861.0,753.0,44850.6,533
2025-08-21 14:55:00-05:00,44861.0,44877.0,44821.0,44857.0,2612.0,44851.5,1612
2025-08-21 15:00:00-05:00,44856.0,44874.0,44845.0,44869.0,780.0,44857.7,505
2025-08-21 15:05:00-05:00,44872.0,44873.0,44856.0,44866.0,176.0,44865.8,114
2025-08-21 15:10:00-05:00,44866.0,44880.0,44862.0,44880.0,188.0,44870.5,118
2025-08-21 15:15:00-05:00,44879.0,44883.0,44874.0,44877.0,72.0,44879.2,53
2025-08-21 15:20:00-05:00,44879.0,44882.0,44875.0,44882.0,29.0,44877.7,23
2025-08-21 15:25:00-05:00,44883.0,44885.0,44877.0,44877.0,98.0,44881.7,63
2025-08-21 15:30:00-05:00,44878.0,44884.0,44877.0,44884.0,70.0,44881.1,53
2025-08-21 15:35:00-05:00,44884.0,44893.0,44883.0,44893.0,80.0,44886.3,58
2025-08-21 15:40:00-05:00,44891.0,44898.0,44891.0,44894.0,31.0,44895.1,25
2025-08-21 15:45:00-05:00,44894.0,44898.0,44888.0,44890.0,35.0,44891.6,28
2025-08-21 15:50:00-05:00,44889.0,44891.0,44884.0,44884.0,69.0,44887.3,56
